exam_file,id,stem,option_A,option_B,option_C,option_D,correct_option
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-073,از تب، درد شکم، نفخ و . ساله که به دلیل کنسر اندومتر که دو روز قبل تحت عمل جراحی کامل کنسر قرار گرفته است۶۳ خانم تلیندز) اقدام مناسب کدام است؟ .در آزمایشات و تصویر برداری عوارض حاد جراحی رد شده است .اسھال آبکی شاکی است (2024,سرم درمانی,کردن بیمارNPO,شروع ایمیپنم و وانکومایسین,تجویز مترونیدازول خوراکی,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-074,،در سونوگرافی کیست تک حفره با دیواره صاف . سانتی متری تخمدان مراجعه نموده است۱۵ ساله به دلیل کیست۱۴ دختر خانم تلیندز) کدام اقدام زیر صحیح است؟ .پانل تومور مارکر نرمال است .بدون ضایعه سالید و یا مایع داخل شکم گزارش شده است (2024,تخلیه کیست با گاید سونوگرافی,اسکلروتراپی به روش لاپاراسکوپی,رزکسیون کیست تخمدان,خارج سازی تخمدان بدون پاره شدن,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-075,شده( claw hand) ساله ای به دنبال ھیسترکتومی ابدومینال نمیتواند دست خود را مشت کند و دچار دست پنجه ای50 خانم (2024 تلیندز) است آسیب کدام عصب برای وی محتمل است ؟,اولنار,مدین,رادیال,آگزیلاری,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-076,ساله غیر فعال از نظر روابط جنسی که به علت پرولاپس شدید کاف واژن ھفته قبل جراحی توتال کولپوکلایزیس و80 بیماری پرینورافی گسترده شده است در حال حاضر با شکایت خیس شدن لباس زیر مراجعه کرده است وی اظھار می کند که قبلا چنین (2024 تلیندز) اقدام موثر کدام است؟ . نرمال است PVR در بررسی . مشکلی نداشته است,سوند مجرای ادرار,باز کردن بخیه ھای پرینه و ترمیم مجدد,CLEAN INTERMITTENT CATHTERIZATION,سی تی اسکن شکم و لگن با کنتراست,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-077,سی تی اسکن شکم و لگن با کنتراست توصیه مناسب در منزل کدام . در حین زایمان شده است جراحی ترمیمی کرده اید3C اسفنگتر ساله که دچار پارگی30 خانمی (2024 تلیندز) است؟,شستشوی پرینه با بتادین و آب گرم دو بار در روز,پماد تتراسیکلین موضعی,زایمان6 ھفته بعد از ویزیت ھای متناوب,یا دوش دستی پس از حرکات روده ای Peri-bottle استفاده از,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-078,6 . است D= -8 و C= -2 و TVL=10 در معاینه قبل از عمل . ساله کاندیدای ھیسترکتومی ابدومینال شده است40 بیماری آسیب کدام یک . اندازه گیری می شود TVL = 6 ماه پس از جراحی با شکایت عدم رضایت جنسی مراجعه کرده است در معاینه (2024 تلیندز) مسبب کوتاھی واژن است؟,آرکوس تاندینوس فاشیا پلویس,کمپلکس یوتروساکرال و کاردینال,فاشیای دنون ویلیر,فاشیای پوبوسرویکال,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-079,(2020 برک نواک) گزینه صحیح کدام است؟ .به اورژانس بیمارستان ارجاع شده است RAPE ساله به دنبال18 دختری,اکثر موارد فرد متجاوز از آشنایان شخص قربانی است,اکثر قربانیان پس از تعرض به دنبال بھره بردن از مراقبت پزشکی ھستند,اکثر قربانیان متحمل صدمات فیزیکی جدی می شوند,خانم ھای جوان بیشتر از نوجوانان در معرض بارداری ھستند,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-080,در . ھفته و با شکایت اختلال حافظه و نگرانی از این بابت مراجعه نموده است30 ساله مھندس کامپیوتر با بارداری30 خانمی در خصوص علت این وضعیت توضیح مناسب کدام است؟ .معاینه و شرح حال یافته دیگری ندارد و علائم حیاتی نرمال است (2022 ویلیامز),افسردگی,اضطراب,محرومیت از خواب,وضعیت گذرا طی بارداری,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-081,ساله نولی گراوید که توسط سرویس جراحی با شک به آپاندیسیت باز شده اما آپاندیس ملتھب نبوده19 در طی عمل جراحی خانمی (2020 اسپیروف) کدام اقدام مناسب است؟ .مشاھده شد ( Rudimentary Horn )،رحم تک شاخ با شاخ فرعی,اکسیزیون جراحی شاخ فرعی,انجام جراحی استراسمن و یکی کردن دو شاخ رحم,توصیه بعدی به بیمار جھت انجام ھیستروسالپنگوگرافی,نیاز به اقدامی ندارد,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-082,در سونوگرافی ترانس واژینال میومتر ھتروژن بوده و کیست . با شکایت منوراژی مراجعه نموده استG1L1 ساله30 خانمی بیوپسی اندومتر . میلی متر گزارش شده است8 و اندومتر25 و میومتر خلفی45 ھای میومتریال داشته و ضخامت میومتر قدامی (2020 اسپیروف) مناسبترین اقدام کدام است؟ .نرمال است و بیمار فعلا تمایل به بارداری ندارد,قرص کنتراسپتیو خوراکی,جراحی,IUD-LNG,آمبولیزاسیون شریان رحمی,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-083,آمبولیزاسیون شریان رحمی 14 بیمارLMP . ساله که به علت کانسر کولون کاندیدای کموتراپی فوری شده ، جھت حفظ باروری ارجاع شده است26 خانمی میلی متری15 میلیمتری و تخمدان چپ یک فولیکول11 فولیکول4 روز قبل بوده و در حال حاضر در سونوگرافی تخمدان راست :آزمایشات بیمار.و دو فولیکول ریز دارد,"TSH=3 μIU/ml , PRL=20 ng/ml , AMH=2.5 ng/ml",(2020 اسپیروف) اقدام مناسب کدام است؟.است,شروع مکمل و توصیه به مراجعه در روز سوم قاعدگی برای شروع سیکل,انجام لاپاروسکوپی و برداشت بافت تخمدان برای فریز,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-084,شروع فوری سیکل آنتاگونیست با ھدف انجام پانکچر در دو ھفته آینده و ارجاع جھت کموتراپیGnRH Long acting ساله ای که با خارش تناسلی و ترشح و سوزش زمان ادرار کردن توسط مادرش به درمانگاه آورده شده است5 معاینه کودک (2020 برک نواک) چگونه انجام می شود؟,frog leg position on the table,In the arms of the mother,knee-chest position,under general anesthesia,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-085,قرار دارد ، خواھان بارداریMycophenolat mofetil ساله نولی پار که یک سال پیش پیوند کلیه شده و تحت درمان32 خانم :در بررسی بعمل آمده .است,"Creatinin=1.2 mg/dl , urine protein 24h =330 mg/dl, BP=130/80 mm/Hg",(2022 ویلیامز) کدامیک از موارد زیر صحیح است؟,با کاھش دوز داروھا می تواند باردار شود,تا دو سال نمی تواند باردار شود,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-086,بارداری منعی ندارد با تغییر دارو می تواند باردار شود در معاینه ھمی پلژی . بارداری با سردرد شدید و تشنج یک ساعت قبل به اورژانس آورده شده است36 ساله در ھفته42 خانمی ضمن تجویز داروی ضد . اسکن انجام شده انفارکتوس ترومبوتیک شریان مغزی گزارش شده استCT درBP=135/70 .دارد (2022 ویلیامز) تشنج، کدام اقدام در الویت فوری قرار دارد؟,Recombinent tissue plasminogen activator درمان با,ھپارین تراپی,low dose aspirin تجویز,ختم بارداری,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-087,سانتی متر۸-۷ در دیلاتاسیون . بارداری با درد زایمان بستری است38 با سابقه یکبار زایمان طبیعی در ھفته2 خانمی گراویدا : دقیقه با خصوصیات زیر دیده می شود10 افت ضربان قلب جنین در2,ثانیه30 رسیده و بعد از (135 خط پایه ) ضربان100 ثانیه به حد20 افت ضربان با شروع انقباضات شروع میشود ودر عرض,اقدام . نرمال استVariability .مواجه ھستیم( shoulder )در ابتدا و انتھای افت با یک تسریع .به طرف خط پایه بر می گردد,(2022 ویلیامز) صحیح کدام است؟,سزارین,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-088,ادامه روند زایمان تسریع زایمان با اکسی توسین استفاده از توکولیز cm DL=6 بارداری با درد زایمان مراجعه و در معاینه39 در ھفتهBMI=30 خانمی با سابقه یکبار سزارین با PR=80 BP=90/60.است Station=0 :بعد از دو ساعت ، از درد شکم با انتشار به قفسه سینه شاکی است و در معاینه .بیمار رضایت به زایمان طبیعی دارد,". استPR=110 , BP=90/60, DL=6 cm,Station= -2",(2022 ویلیامز) محتمل ترین تشخیص کدام است؟ .در نوار قلب اخذ شده افت متغییر متعدد را مشاھده می کنید,امبولی ریه,امبولی مایع امنیون,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-089,دکولمان جفت پارگی رحم و سابقه دو بار زایمان طبیعی، که3 خانمی گراویداLMPخود را نمی داند.,کدام گزینه برای ختم(ACOG) بر اساس گاید لاین. بارداریست40 ھفته را نشان داده، الان در ھفته25 با اولین سونوگرافی که,(2022 ویلیامز) بارداری صحیح است؟,منتظر شروع درد زایمان می مانیم,41 ختم بارداری در ھفته,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-090,القا لیبر انجام می دھیم ھفته42 ختم بارداری در ،خانمی با شغل حسابدار ، مبتلا به بیماری اپی لپسی ، گاھی تشنج ژنرالیزه و گاھی فقط حمله صرع به صورت نگاه خیره دارد ویEEG معاینه نورولوژیک و . سال گذشته حمله صرع نداشته است و می خواھد باردار شود4 ضمن مصرف منظم لوبل در طی (2022 ویلیامز) تحت این شرایط کدامیک از گزینه ھا، ادامه درمان را الزامی می کند؟ .در حین درمان نرمال است,سال گذشته4 عدم حمله صرع در طی,وجود دو نوع مختلف حمله تشنج,نرمال در حین درمانEEG,معاینه نورولوژیک نرمال در حین درمان,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-091,.تحت درمان دارویی است (min/250-200) ھفته با جنین ھیدروپیک، به علت حملات تاکی آریتمی گذرای جنینی31 خانم باردار (2022 ویلیامز) داپلر کدامیک ازعروق زیر می تواند در پایش سیر بھبودی جنین کمک کند؟,شریان رحمی,ورید نافی,شریان مغزی میانی,داکتوس ونوزوس,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-092,گرم تحت درمان ادم حاد2650 ھفته با وزن تخمینی جنین36 با سابقه یک بار زایمان واژینال در روند زایمان G2P1 خانمی در نمونه گیری از خون پوست سر . داردOA در دیلاتاسیون و افاسمان کامل ، سر جنین به پرینه رسیده و وضعیت .ریه می باشد کدامیک از اقدامات زیر صحیح . بوده و مادر به شدت خسته است و دیگر توان زور دادن نداردPH=6.9 BE= -12 جنین (2022 ویلیامز) است؟,فورسپس,وکیوم,سزارین اورژانس,صبر برای زایمان خودبخود,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-093,صبر برای زایمان خودبخود سفال که ھیچ مشکل طبی از نظر مامایی و سلامت عمومی ندارد، در روند زایمان سریع – سفالDCDA ھفته36 خانم باردار ، در حین زایمان قل دوم به مدت چند دقیقه دچار کاھش ( 8/10 با مایع آغشته به مکونیوم و آپگار ) واژینال بعد از خروج قل اول به دنیا می آید سپس خونریزی شدید رحمی شروع2 قل دوم با آپگار .ھوشیاری و سپس افت فشار خون و دیسترس تنفسی می شود (2022 ویلیامز) در حین انجام اقدامات تشخیصی و درمانی ، تجویزکدامیک از داروھای زیر کنتراندیکه است؟ .می شود,سنتوسینون,میزوپروستول رکتال,PGF2α,داخل رحمیPGE1,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-094,داخل رحمیPGE1 بار در ماه دچار مجموع علایم تنگی نفس خفیف ھمراه با ویز تنفسی و آلکالوز تنفسی خفیف می2 تا1 برای خانم بارداری که (2022 ویلیامز) شود، کدامیک از گزینه ھای زیربرای درمان علایم فوق صحیح است ؟,Short acting β-agonist,oral corticosteroids,montelukast,cromones,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-095,شده (C3 وC4) مثبت در سه ماھه دوم بارداری دچار کاھش پیشرونده کمپلمانAnti Sm خانمی مبتلا به سینوویت و آلوپسی با (2022 ویلیامز) استفاده از کدام یک از موارد زیر کنتراندیکه است؟ . می شود1.3 و کراتی نین,تاکرولیموس,کورتیکوستروئید وریدی,مایکو فنولات موفتیل,ایمونوگلوبولین وریدی,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-096,اولترا سونوگرافی فشاری اندام تحتانی چپ . خانم باردار به دلیل درد ناگھانی و تورم اندام تحتانی چپ به زایشگاه مراجعه می کند (2022 ویلیامز) اولین اقدام کدام است؟ . بیمار از درد پھلو و کشاله ران شاکی است .نرمال گزارش شده است,تکرار اولترا سونوگرافی فشاری,تست دی دایمر,لگنیMRI,شروع درمان ضد انعقادی,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-097,( سانتی متری2 ) در بررسی سی تی اسکن بیماری که با تشخیص احتمالی سنگ حالب انجام شده بود بطور اتفاقی یک توده کوچک (2020 اسپیروف) :در آدرنال کشف می شود در بررسی ھای اولیه ھمه ی تست ھای زیر توصیه می شود بجز,ساعته از نظر کاته کولامین24 جمع آوری ادرار,DHEAS اندازه گیری سطح خونی,تست سرکوب دگزامتازون شبانه,(FNA) بیوپسی با آسپیراسیون سوزنی,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-098,شود در سونوگرافی انجام شده تعدادICSI قرار است Male factor ساله به علت10 ساله به دلیل نازایی اولیه30 خانم ، و ترانسفر جنینICSIچھار روز بعد از انجام پانکچر تخمدان و . عدد می باشد12 فولیکول ھای آنترال در ھر تخمدان بیش از را %55 بیمار افزایش ھماتوکریت بیشتر ازCBC بیمار دچار درد شدید شکم، اولیگوری و افزایش اندازه دور شکم شده است و اقدام بعدی تجویز کدام . با نرمال سالین انجام شده ولی موثر نبوده و اولیگوری برطرف نشده استRehydration نشان می دھد (2020 اسپیروف) یک می باشد؟,دیورتیک وریدی,آلبومین وریدی,رینگر لاکتات,%10 سرم دکستروز,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-099,%10 سرم دکستروز در ازمایشات انجام . با نازایی اولیه یک ساله و شرح حال لکه بینی قبل از قاعدگی مراجعه می کندBMI=36 ساله با25 خانم بیمار کاندیدای القای تخمک گذاری با . اسپرموگرام ھمسر نرمال است .شده، عملکرد تیروئید و پرولاکتین سرم نرمال می باشد Palinopsia وphotophobia حین درمان دچار . میلی گرم روزانه برای یک دوره پنج روزه شده است100 کلومیفن سیترات (2020 اسپیروف) اقدام مناسب بعدی کدام است؟ .می شود,قطع درمان و کاھش دوز کلومیفن در سیکل بعدی,قطع درمان و تجویز دارویی دیگر در سیکل بعدی,ادامه درمان و کاھش دوز کلومیفن,ادامه درمان با ترکیب کلومیفن با داروی دیگر,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-100,CT به دلیل درد قسمت تحتانی شکم تحت سونوگرافی و ،سمت راست با سابقه کیست درموئید تخمدان ساله20 بیمار خانم این یافته ھا با کدام یک از گزینه ھای تشخیصی زیر مطابقت .یافته ھای تصویر برداری به شرح ذیل است . اسکن قرا گرفته است (2024 تلیندز) دارد؟,"ULTRASOUND imaging: asymmetrical heterogeneous enlargement of the ovary, edema of","ovarian parenchyma, midline position of the ovary, free fluid, and decreasel doppler venous",and arterial flow,CTscan: fat stranding and edema in the adnexa,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-101,ھایپر استیمولیشن تخمدان آبسه لوله ای تخمدانی تورشن تخمدان کانسر تخمدان کولپوسکوپی و بیوپسی شده که +HPV 16 و تستASCUS یکسال قبل به دنبال جواب پاپ اسمیرG2L2 ساله32 خانم یافته ھای کولپوسکوپی به نفع عفونت .است +HPV 16 وASCUS اکنون مجددا پاپ اسمیر بیمار. بوده استCIN I جواب (2020 برک نواک) بھترین اقدام بعدی چیست؟ . استHPV,از سرویکس بیوسی,HPV ادامه پیگیری با پاپ اسمیر و تست,تخریب ضایعات با لیزر,لوپ الکتریکی باT-ZONE خارج کردن,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-102,،پس از خروج نوزاد . بار سزارین به دلیل پلاسنتا آکرتا کاندیدای سزارین ھیسترکتومی است2 ، با سابقه یG3L3 ساله29 خانم اولین اقدام مناسب بعدی چیست؟. جفت بدون خونریزی در محل قرار دارد و برش ھیستروتومی نیز خونریزی قابل توجھی ندارد (2022 ویلیامز),بستن سریع برش ھیستروتومی با سوچور تمام ضخامت,استفاده از اسپونج فورسپس در لبه ھای برش میومتر,پایین دادن مثانه به صورت بلانت,شروع ھیسترکتومی با قطع کردن و بستن لیگامان راند,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-103,ارسالFROZEN حین جراحی تخمدان راست جھت بررسی . ساله با توده سالید تخمدان راست لاپاراتومی شده است55 خانم بھترین تصمیم برای .ھیسترکتومی و برداشتن لوله و تخمدان دو طرف را انجام داده ایم . تومور گرانولوزا است شده که جواب (2024 تلیندز) لنف نودھا در این بیمار چیست ؟,نیاز به انجام لنفادنکتومی نیست,نمونه برداری از لنف نود لگنی راست و پاراآئورت انجام شود,نود لگنی دو طرف بیوپسی شود,نمونه برداری به طریق سنتینل نود انجام گردد,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-104,معاینه . ساله ای با تشخیص کانسر پستان کموتراپی نئوادجوانت دریافت کرده و اکنون کاندیدای جراحی پستان است42 خانم برک نواک) بھترین اقدام جھت ناحیه آگزیلاری در این بیمار چیست؟. کلینیکی اگزیلاری قبل از انجام کموتراپی نرمال بوده است (2020,سنتینل لنف نود دیسکشن,دیسکشن کامل آگزیلا,عدم انجام جراحی ناحیه آگزیلا,دیسکشن پس از کامل شدن درمان ادجوانت,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-105,و منجر به بسته ایسکیورکتال توسعه یافته واکیوم ، دچار ھماتوم وسیع واژن شده که به فضای بدنبال زایمان با کمک G1 خانم (Uptodate2023) منشا این ھماتوم شاخه ھای کدام شریان است؟. شدن لومن واژن گردیده است,ابتوراتور,میدل رکتال,رحمی,مثانه ای فوقانی,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-106,(2022 ویلیامز) کدام است؟( Uterine Quiescence) سرویکس در فاز اول بارداری softening عامل اصلی,تعادل بین ساخت و تجزیه کلاژن,کاھش سطح کلاژن,جایگزینی کلاژن با ارتباطات قوی بجای نوع ضعیف,افزایش سطح آنزیم لیزیل ھیدروکسیلاز,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-107,5cm – 80% -2 معاینه بدو ورود . ھفته بدلیل دردھای زایمانی مراجعه کرده است39 با سن حاملگیG2P1L1 خانم معاینه دو ساعت بعد تغییری نداشته است که . و معاینه لگنی نرمال ھست3200 وزن تخمینی جنین . می باشدcephalic به دلیل عدم تغییر معاینه، کاتتر فشار داخل رحمی گذاشته . ساعت بعد معاینه واژینال صورت می گیرد2 ًآمنیوتومی انجام و مجددا (2022 ویلیامز) اقدام مناسب بعدی کدام است؟ . واحد مونته ویدئو ثبت شده است100 شده و فعالیت رحم,تجویز اکسی توسین,ساعت4 تحت نظر گرفتن بمدت,انجام سزارین,تجویز میزوپروستول,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-108,ھمه . گزارش شده استNo- Call ھفته12 ساله با سن حاملگی35 در خانم باردارcell free DNA نتیجه تست غربالگری (2022 ویلیامز) بجز؟ موارد زیر صحیح است,cell free DNA تکرار,آمنیوسنتز,مشاوره ژنتیک,Detailed سونوگرافی,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-109,"مراجعه کرده ( ساعت قبل2 از ) بوده است، بدلیل پارگی کیسه آمنیونNVD که زایمان قبلی بصورتG2P1خانم باردار ترم 30mmHg دقیقه دو انقباض با شدت10 در ھر .و مایع روشن است 3cm , 60% -3 Cephalic :معاینه واژینال .است (2022 ویلیامز) بر اساس پروتکل پارکلند اقدام مناسب کدام است؟ .دارد",تجویز میزوپروستول,تجویز اکسی توسین,ساعت بعد6 شروع اکسی توسین,تجویز آنتی بیوتیک و تحت نظر گرفتن,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-110,پیدا کرد و دچار تنگی نفسRR=28 وPR=105 که مبتلا به بیماری قلبی قابل توجھی می باشد، در ھنگام زایمانG=1 یک خانم (2022 ویلیامز) کدام یک از کارھای زیر صحیح می باشد؟ .شده است,supine تغییر پوزیشن به وضعیت,تسریع زایمان,درمان مدیکال مادر,سزارین اورژانس,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-111,برای . شده است و با تلاش نتوانسته ایم رگ مناسب و یا راه جایگزین پیدا کنیمSudden Cardiac Arrest خانمی که مبتلا به (Uptodate2023) از روش ھای جایگزین زیر توصیه می شود؟ استفاده از داروھای حیاتی کدام یک,تزریق مستقیم قلبی,استفاده از اینتراتراکیال,تجویز زیر جلدی,تزریق مستقیم ساب کلاوین,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-112,که از ھفته قبل درد شدید لگن ھمراه باترشح شدید واژن داشته پس از درمان ھای مختلف و عدم بھبودی باG1P1 ساله۴۸ خانم و ھیپوتانسیون به اورژانس اعزام شده است، در معاینه تمام شکم حساس و ریباند ۱۲۰ درد شدید شکم و لگن و تب و تاکیکاردی سونوگرافی توده سیستیک در دو تخمدان را گزارش کرده .تندرنس دارد و در معاینه واژینال لگن فروزن و فیکس و حساس است (2020 برک نواک) کدام روش زیر در مورد درمان قطعی این بیمار صحیح است؟ .است,لاپاروتومی و برداشتن رحم و تخمدان ھا پس از احیای بیمار,تخلیه توده ھا با گاید سونوگرافی,درمان آنتی بیوتیک وسیع الطیف و بستری در آی سی یو و کنترل بیمار,لاپاروسکوپی و درمان کنسرواتیو,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-113,علائم . سابقه مسافرت اخیر نداشته و اسھال خونی نیست . روز قبل مراجعه کرده است۲ خانم بارداری با اسھال نسبتاً شدید از درمان مناسب . حیاتی طبیعی است و علائم دھیدراتاسیون ندارد ، مقدار ادرار طبیعی است و الکترولیت ھای خون نرمال ھستند (2022 ویلیامز) کدام است ؟,Loperamide,Vancomycin,Metronidazol,Ciprofloxacine,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-114,و حجم مایع آمنیوتیک۳ ھفتگی خانم باردار مبتلا به سندروم آنتی فسفولیپید آنتی بادی صدک وزنی جنین کمتر از۳۲ در سونوگرافی داپلر شریان نافی . آنومالی اسکن نرمال است . میلی متری، محاسبه شده استCRL ۶۲ سن بارداری بر اساس . طبیعی است (2022 ویلیامز) علاوه بر بستری و تجویز کورتیکوسترویید ، اقدام بعدی چیست؟ . نمای ذیل را دارد,ھفتگی۳۴ یک الی دو بار در روز ، ختم در NST,بار در ھفته۳ داپلر شریان نافی دو تا,NICU ختم بارداری در مرکز مجھز به,ھفته۳ بررسی رشد جنین ھر,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-115,ھفته۳ بررسی رشد جنین ھر آنالیز گازھای شریان . دقیقه بعد به روش سزارین متولد شده است20 خانمی در حین زایمان دچار پرولاپس بند ناف شده و نوزاد کدامیک از گزینه ھای ذیل در مورد نوزاد . میلی متر جیوه را گزارش کرده است90 معادلPCo2 و6.95 معادلPH بند ناف (2022 ویلیامز) درست است؟,اسیدوز تنفسی,اسیدوز متابولیک,آسفیکسی شدید,.مقادیر داده شده برای تفسیر و اظھار نظر کافی نیست,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-116,نیم ساعت بعد بیمار دچار تاکی . انجام شده است bupivacain برای خانمی جھت بی دردی زایمان، اپیدورال آنالژزی با ماده کدام اقدام درست است؟ . تشنج و برادیکاردی جنین می شود ، کاردی شدید و افزایش ناگھانی فشارخون و سپس افت فشار خون (2022 ویلیامز),تزریق وریدی سریع اینترا لیپید,سزارین سریع در ھمان محل,پایین آوردن سر تخت بیمار,تزریق ھیدروکوتیزون,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-117,در سونوگرافی انجام شده رشد . ھفته به علت آبسه دندان جراحی فک شده و برای تسکین درد ژلوفن دریافت کرده است32خانم (2022 ویلیامز) بررسی داپلر کدام عروق جنینی ضروری است؟ .جنین نرمال و کاھش مایع آمنیوتیک گزارش می شود,شریان کلیوی,شریان نافی,داکتوس آرتریوزوس,شریان مغزی میانی,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-118,در سونوگرافی رشد جنین .در بخش زایمان بستری می شود FHR=55 ھفته با سابقه رماتیسم مفصلی بعلت32 خانم حامله Anti RO .در اکوی قلب جنین بلوک درجه سه مشھوداست نرمال است و تجمع مایع در فضای پلور و پریکارد دیده می شود و (2022 ویلیامز) مناسبترین اقدام کدام است؟ .مثبت است,4mg/daily تجویز دگزامتازون,تجویزھیدروکسی کلروکین,تجویز تربوتالین,Pace maker ختم بارداری و گذاشتن,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-119,(2022 ویلیامز) را در نوزاد پرترم افزایش می دھد؟IVH زیر میزان کدامیک از اقدامات,سزارین,بستن دیررس بند ناف,دوشیدن بند ناف,زایمان طبیعی,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-120,"IUGR جنین در بررسی . و ادم و سردرد بستری می شود170/110 بارداری با فشار خون32 درھفتهG1 ساله34 خانم در . مشاھده می شودBrain sparing در شریان نافی و Absent end diastolic flow شدید و اختلالات داپلر بصورت متعاقب ختم . می باشدHb=14g/dL, SGOT= 65, SGPT=80, Creatinine= 1.08, UP=+3: آزمایشات بعمل آمده اقدام مناسب کدام است؟ .و سدیم ادرار بالا است +Creatinine= 2.5mg/dL, UP=3 بارداری بیمار اولیگوریک بوده و",(2022 ویلیامز),Intensive IV fluid therapy,انفوزیون آلبومین,تجویز دیورتیک جھت جلوگیری از ادم ریه,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-121,"ھموفیلتریشن و دیالیز کماکان فشارخون بیمار بالا بوده و ترومبوسیتوپنی و آنمی وHELLP ھفته در خانم مبتلا به سندروم33 متعاقب زایمان زودرس ویلیامز) درمان مناسب کدام است؟ .دارد و در لام خون محیطی شیستوسیت مشاھده می شودCreatinine و ,LDH افزایش (2022",تجویز دگزامتازون,Plasma exchange,Furosomide IV,Plasma volume expander,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-122,(Uptodate2023) اقدام مناسب کدام است؟ . ھفته با کاھش حرکت جنین مراجعه کرده است39 خانم حامله,زایمان,داپلر عروق جنینی,مشاوره با والدین و گوشزد نمودن افزایش خطر مرگ جنین,دو بار در ھفتهNST سونو و,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-123,در سونوگرافی سه .مراجعه کرده است 8 بیماری با ناباروری اولیه بمدت دو سال ،خونریزی زیاد موقع قاعدگی با ھموگلوبین کدامیک از موارد . میلی متر گزارش شده است15 با فاصله تا سروزای رحم حدودFIGO I سانتی متری5 بعدی، یک میومای (2024 تلیندز) زیر بھترین انتخاب است؟,به مدت سه ماه و آھن روزانه و بعد ھیستروسکوپیک میومکتومی GNRH a,میومکتومی یک واحد خون قبل عمل و یک واحد برای عمل و لاپاراتومی,به مدت یک ماه و آھن روزانه و بعد لاپاراسکوپیک میومکتومی GNRH a,یک واحد خون قبل عمل و یک واحد برای عمل و ھیستروسکوپیک میومکتومی,
board_1403.jsonl,OBGYN-1403-BOARD-GENERAL-124,یک واحد خون قبل عمل و یک واحد برای عمل و ھیستروسکوپیک میومکتومی . ساله بوده است8 ساله که تلارک زودرس و رشد زودرس موھای پوبیس داشته است در بررسی سن استخوانی6 دختر خانم (2020 اسپیروف) قدم بعدی چیست؟. نرمال گزارش شده استstimulation GnRH-a تست,اطمینان به بیمار و تحت نظر گرفتن,توصیه به انجام سونوگرافی شکم و لگن,Brain MRI,TSH-T4 اندازه گیری,
